Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
wishup,1,1,480,42,4.37,https://www.wishup.co/,384,2.17,1678.00,0.29,207000,"[16,10,16,7,13,20,13,16,13,20,66,36]",2025-01-03,"Sitelinks, Reviews, Video, Image, People also ask, Twitter carousel, Related searches, See results about",navigational,Organic
wish up,1,1,480,47,5.53,https://www.wishup.co/,384,2.17,2123.00,0.01,3540000000,"[0,2,68,0,0,0,68,25,100,16,16,13]",2024-12-27,"Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
what do virtual assistants do,1,1,1300,70,1.48,https://www.wishup.co/blog/what-does-a-virtual-assistant-do/,322,1.82,476.00,0.23,87800000,"[68,100,84,68,84,84,68,68,68,84,68,46]",2025-01-06,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
real estate virtual assistant,1,1,1900,25,9.86,https://www.wishup.co/blog/real-estate-virtual-assistant-companies/,250,1.41,2465.00,0.35,54000000,"[41,79,54,66,100,79,100,100,79,66,100,54]",2025-01-07,"Sitelinks, Reviews, Ads bottom, People also ask, Related searches, AI overview","commercial, informational",Organic
executive assistant and administrative assistant,1,1,1000,20,3.10,https://www.wishup.co/blog/executive-assistant-vs-administrative-assistant/,248,1.4,768.00,0.12,171000000,"[81,81,100,62,81,62,62,62,62,4,13,20]",2025-01-02,"Sitelinks, Featured snippet, People also ask, Related searches",commercial,Organic
realtor virtual assistant,1,1,720,30,10.27,https://www.wishup.co/blog/real-estate-virtual-assistant-companies/,178,1,1828.00,0.52,3150000,"[36,36,81,24,55,45,16,24,16,45,81,100]",2024-12-25,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
executive assistant vs administrative assistant,1,1,590,22,5.62,https://www.wishup.co/blog/executive-assistant-vs-administrative-assistant/,146,0.82,820.00,0.01,331000000,"[100,66,100,81,66,100,81,54,66,100,66,81]",2024-12-26,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
delete g cal events before a time,1,1,590,33,0.00,https://www.wishup.co/blog/how-to-cancel-a-google-calendar-event/,146,0.82,0.00,0,491000000,"[100,0,0,0,0,0]",2025-01-04,"Sitelinks, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
how do i delete events from google calendar,1,1,480,30,0.00,https://www.wishup.co/blog/how-to-cancel-a-google-calendar-event/,119,0.67,0.00,0,59000000,"[44,44,81,67,54,44,54,54,44,81,36,36]",2024-12-19,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
virtual sales assistant,1,1,390,23,20.10,https://www.wishup.co/blog/45-benefits-of-hiring-a-virtual-sales-assistant/,96,0.54,1929.00,0.5,108000000,"[29,29,36,36,54,100,54,36,66,100,81,81]",2024-12-25,"Reviews, People also ask, Related searches",commercial,Organic
virtual assistant real estate,1,1,390,24,10.27,https://www.wishup.co/blog/real-estate-virtual-assistant-companies/,96,0.54,985.00,0.52,38500000,"[39,39,32,32,39,32,39,39,48,48,72,26]",2024-12-23,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Related searches",commercial,Organic
